State,Code,District,Code,,State,Code,District,Code,,State,Code,District,Code
,,Ranchi,18,,,,Kendrapara,15,,,,Nainital,5
,,Sahibganj,19,,,,Kendujhar,16,,,,Pauri Garhwal,6
,,West Singhbhum,20,,,,Khordha,17,,,,Udham Singh Nagar,7
,,,,,,,Koraput,18,,,,,
Karnataka,9,Belagavi,1,,,,Mayurbhanj,19,,Punjab,18,Jalandhar,10
,,Bidar,2,,,,Nayagarh,20,,,,Kapurthala,11
,,Chikkamagaluru,3,,,,Nuapada,21,,,,Ludhiana,12
,,Chitradurga,4,,,,Puri,22,,,,Mansa,13
,,Dakshina Kannada,5,,,,Rayagada,23,,,,Moga,14
,,Davanagere,6,,,,Sambalpur,24,,,,Pathankot,15
,,Dharwad,7,,,,Subarnapur,25,,,,Patiala,16
,,Gadag,8,,,,Sundargarh,26,,,,Rupnagar,17
,,Hassan,9,,,,,,,,,Sangrur,18
,,Haveri,10,,Puducherry,17,Karaikal,1,,,,Sri Muktsar Sahib,19
,,Kodagu,11,,,,,,,,,Tarn Taran,20
,,Kolar,12,,Punjab,18,Amritsar,1,,,,,
,,Koppal,13,,,,Barnala,2,,,,,
,,Mandya,14,,,,Bathinda,3,,,,,
,,Mysuru,15,,,,Faridkot,4,,,,,
,,Raichur,16,,,,Fatehgarh Sahib,5,,,,,
,,Ramanagara,17,,,,Fazilka,6,,,,,
,,Udupi,18,,,,Ferozepur,7,,,,,
,,Uttara Kannada,19,,,,Gurdaspur,8,,,,,
,,Yadgir,20,,,,Hoshiarpur,9,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
